DOW,Date,Effective.Date,Pre.Lower,Pre.Upper,Post.Lower,Post.Upper,Pre.One,Pre.Two,Post.One,Post.Two,Season,Application,Weird.Dates,Additional.Stop,N.Type,Back.Stop
27001600,05.15.2001,1/1/01,1/1/99,1/1/01,1/1/01,1/1/03,1999,2000,2001,2002,Spring,a,,2009,Both,1993
27003100,10.15.2001,1/1/02,1/1/00,1/1/02,1/1/02,1/1/04,2000,2001,2002,2003,Fall,a,,2010,Both,1994
27003501,10.01.2020,1/1/21,1/1/19,1/1/21,1/1/21,1/1/23,2019,2020,2021,2022,Fall,a,,2023,TKN.mg_L,2013
27003502,05.18.2015,1/1/15,1/1/13,1/1/15,1/1/15,1/1/17,2013,2014,2015,2016,Spring,a,,2023,TKN.mg_L,2007
27003900,10.15.1996,1/1/97,1/1/95,1/1/97,1/1/97,1/1/99,1995,1996,1997,1998,Fall,a,,2005,TN.mg_L,1989
27004000,11.4.1996 with spot treatment  in 4.x.1997,1/1/97,1/1/95,1/1/97,1/1/97,1/1/99,1995,1996,1997,1998,Fall,a,,2005,TN.mg_L,1989
27004800,06.03.2019,1/1/19,1/1/17,1/1/19,1/1/19,1/1/21,2017,2018,2019,2020,Spring,a,,2027,TN.mg_L,2011
27006203,05.01.2012,1/1/12,1/1/10,1/1/12,1/1/12,1/1/14,2010,2011,2012,2013,Spring,a,,2020,Both,2004
27006700,10.15.2008,1/1/09,1/1/07,1/1/09,1/1/09,1/1/11,2007,2008,2009,2010,Fall,a,,2014,Both,2001
27006700,Fall 2013,1/1/14,1/1/12,1/1/14,1/1/14,1/1/17,2012,2013,2015,2016,Fall,b,,1980,Both,2050
27007100,11.14.2012,1/1/13,1/1/10,1/1/13,1/1/13,1/1/15,2010,2011,2013,2014,Fall,a,,2019,TKN.mg_L,2005
27019200,09.xx.2010 and Spring 2011,1/1/11,1/1/09,1/1/11,1/1/11,1/1/13,2009,2010,2011,2012,Fall and Spring,a,,2019,TN.mg_L,2003
27104501,05.07.2019,1/1/19,1/1/16,1/1/19,1/1/19,1/1/21,2016,2018,2019,2021,Spring,a,,2027,TKN.mg_L,2011
62000200,"04.26.2014, 4.26.16",1/1/14,1/1/12,1/1/14,1/1/16,1/1/18,2012,2013,2016,2017,Spring,a,,2024,TKN.mg_L,2006
62000600,"09.15.2009, 5.x.2010",1/1/10,1/1/08,1/1/10,1/1/10,1/1/12,2008,2009,2010,2011,Fall and Spring,a,,2018,TKN.mg_L,2002
62005400,10.15.2004,1/1/05,1/1/03,1/1/05,1/1/05,1/1/07,2003,2004,2005,2006,Fall,a,,2013,TKN.mg_L,1997
62005500,05.18.2020,1/1/20,1/1/18,1/1/20,1/1/20,1/1/22,2018,2019,2020,2021,Spring,a,,2028,TKN.mg_L,2012
70005400,10.15.2013,1/1/14,1/1/12,1/1/14,1/1/14,1/1/16,2012,2013,2014,2015,Fall,a,,2018,TN.mg_L,2006
70005400,"5.26.2018, 5.14.2020",1/1/18,1/1/16,1/1/18,1/1/20,1/1/23,2016,2017,2021,2022,Spring,b,,1980,TN.mg_L,2050
70007200,05.26.2020,1/1/20,1/1/18,1/1/20,1/1/20,1/1/23,2018,2019,2021,2022,Spring,a,,2028,TN.mg_L,2012
82011800,Fall 2008/Fall 2009,1/1/10,1/1/07,1/1/09,1/1/10,1/1/13,2007,2008,2011,2012,Fall and Fall,a,,2018,TKN.mg_L,2001
